Role,Level,IsReturnGoods,TextId,Text,AddRage,Option1,Option1ShowText,Option1Jump,Option1Mood,Option1Money,Option2,Option2ShowText,Option2Jump,Option2Mood,Option2Money,Option3,Option3ShowText,Option3Jump,Option3Mood,Option3Money,Option4,Option4ShowText,Option4Jump,Option4Mood,Option4Money,NoOptionJump,NoOptionMood,NoOptionMoney,,
1,3,false,1001,啊！朋友你好，很高兴认识你！我叫XXX，是这一带的旅行商人，很早就听说朋友这小店的名气很大，今天旅行至此，终于是开了眼界！你看咱们既然都是同行，能不能给我展示展示您这边的货物？（XXX晃了晃身体，肩上的大袋子发出砰砰的响声）,0,兄弟太客气啦，这么远过来也是辛苦了，（从货柜下面拿出灵魂之羽、毛球草）您随便看就是了！,展示灵魂之羽、毛球草,1002,15,0,当然没问题，朋友，这是本店的镇店之宝，灵魂之羽，您看看是否有兴趣？,展示灵魂之羽,1003,10,0,朋友客气，这是咱们中心区域的特产毛球草，十分珍贵，朋友那是否也有好货物给我看看？,展示毛球草,1004,5,0,不好意思朋友，小店没什么出名的货物可以展示，有的都在后面货架上了。,拒绝展示,1005,0,0,1006,-20,0,,
1,3,false,1002,啊！兄弟是个豪爽的人，这些东西真是开了眼界了！（袋子里拿出一些金属块），我没什么好东西，只有一些从北边矿山换来的秘银锭，兄弟看看有没有兴趣交换你的灵魂之羽和毛球草？,0,嗯……跟兄弟说句实话，您看看我们店周围，都是漫山遍野的制造材料，我们经营的主业都是这些物品，金属这东西，恐怕不太适合我。,这东西恐怕不太适合我,1005,-10,0,兄弟辛苦了，这么远带过来，有诚意！那咱们就废话不多说，成交！,废话不多说，成交！,1007,20,400,兄弟这货物够硬！我收了！但考虑到咱们小店主营的是材料，金属这东西，再卖出去还是有点吃亏的，所以需要兄弟再……给小弟点帮助？（摸了摸口袋，看看能不能再让他给点钱）,只有这些怎么够？加点钱！,1008,-5,0,兄弟不要开玩笑，就这东西，能换我家的货物？您还是去别处看看吧,完全没有兴趣,1012,-25,0,1006,-20,0,,
1,3,false,1003,啊！这羽毛，如此的轻盈和丝滑，一看就是上等的制造材料！真是开了眼界了！（袋子里拿出一些神秘水晶），这是我老家附近矿场采来的水晶，兄弟看看换取你5个羽毛如何，交个朋友？,0,朋友，这水晶固然珍贵，但我们的羽毛也是极其稀有的制作材料，我只能给你3个交换，你看如何？,不好评估，只能以3换1,1007,15,300,朋友有所不知，这羽毛是我们这最珍贵的特产，这价值我也不好评估，要不然2换1，怎么样？,不好评估，只能以2换1,1010,-10,0,这水晶光泽闪耀，是个宝贝！成交！,是个宝贝！成交！,1007,15,200,朋友说笑了，5换1，我的羽毛不至于这么差吧，这笔交易恐怕换谁都不能接受吧。,拒绝交易,1012,-20,0,1006,-20,0,,
1,3,false,1004,啊！这毛球草，形状独特且柔软，使劲拉又不会断裂，真是上等的材料啊！（袋子里拿出一些神秘植被），这是我去年去南方牧场老板那买来的薄荷，您是否有兴趣？,0,（咬了一口）！这薄荷清凉无比，很适合我们小店！我用20袋毛球草换你20袋薄荷如何？,用20袋换他20袋,1007,15,-40,（咬了一口）！这薄荷清凉无比，很适合我们小店！我用30袋毛球草换你50袋薄荷如何？,用30袋换他50袋,1007,10,100,（咬了一口）！这薄荷清凉无比，很适合我们小店！不如我们来比大交易，我用50袋毛球草换你100袋薄荷如何？,用50袋换他100袋,1011,-5,0,（咬了一口）！这薄荷虽然味道不错，但小店真的不太需要这些，实在抱歉,不太需要，找个理由拒绝,1012,-15,0,1006,-20,0,,
1,3,false,1005,啊！那还真是可惜呀，但我也实在是不想错过，朋友，要不然这样，你看看能不能直接把它们卖给我？,0,好嘞，那咱们就成交！总共是500金币（以正常价格卖出了物品）,500金币正常卖出,1007,20,500,没问题！一个羽毛加一株草……一共是……1000金币！（稍微抬个价，他应该也不知道吧）,稍微抬个价，1000金币,1009,0,0,当然可以，一共是5000金币吧，也算跟兄弟交个朋友（这人看上去够傻的，也蛮有钱的，多要点钱试试！）,狠一点，5000金币,1012,-15,0,不好意思朋友，这些物品都是只能出售给法师们的，实在抱歉,不想卖，找个理由拒绝,1012,-10,0,1006,-20,0,,
1,3,false,1006,啊！朋友既然不想，那我只能另寻别处了……,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,false,1007,啊！当然可以！完美的交易，朋友绝对不会后悔的，合作愉快！,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,false,1008,啊！我懂朋友的意思，也确实在理，要不然我给朋友多补100金币怎么样，以示我的诚意！,0,（同意）,,1007,10,500,（不同意）,不同意,1012,-10,0,,,,,,,,,,,1006,-20,0,,
1,3,false,1009,啊！朋友你这个方案，我不太能接受的了……最近做了很多赔本生意，不想再做一次了……,0,（坚持刚才的想法，我还不想做赔本生意呢！）,坚持刚才的想法,1012,-10,0,好嘞，那咱们就成交！总共是500金币（以正常价格卖出了物品）,妥协他，并正常卖出,1007,20,500,好！我也理解兄弟的难处，那就一口价900金币如何？,不行，就要900金币,1012,-15,0,不好意思朋友，我忘了说，这些物品都是只能出售给法师们的，实在抱歉,不想卖了，找个理由拒绝,1012,-10,0,1006,-20,0,,
1,3,false,1010,啊！朋友你这个方案，我不太能接受的了……最近做了很多赔本生意，不想再做一次了……,0,（坚持刚才的想法，我还不想做赔本生意呢！）,坚持刚才的想法,1012,-10,0,朋友，这水晶固然珍贵，但我们的羽毛也是极其稀有的制作材料，我只能给你3个交换，你看如何？,不好评估，只能以3换1,1007,15,300,这水晶光泽闪耀，是个宝贝！成交！,是个宝贝！成交！,1007,15,200,不好意思朋友，我忘了说，这些物品都是只能出售给法师们的，实在抱歉,不想卖了，找个理由拒绝,1012,-10,0,1006,-20,0,,
